id,app_start_time,app_submission_time,applicant_name,app_email,app_onphone,app_ssn,app_mailing,renter,unit_type,requested_amount,origin_ip,classification,AI_prediction,geoLocation
100001,2022-04-24 22:33:0,2022-04-24 22:38:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"806 Maiya Manor, Apt. 339, 87985-6193, Abshirefort, Arizona, United States",1,Single-Family,48000,"93.76.212.64",Fraud,0.7,
100404,2022-05-09 20:31:0,2022-05-09 20:44:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"44176 Bailey Mills, Apt. 449, 86031, East Selmerburgh, Oregon, United States",1,Single-Family,24000,"98.26.230.123",Fraud,0.7,
100807,2022-01-18 20:7:0,2022-01-18 20:17:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"5280 Wolf Village, Suite 279, 11986-1255, North Adrianna, Delaware, United States",2,Single-Family,21000,"36.236.127.5",Fraud,0.7,
101210,2022-02-13 5:0:0,2022-02-13 5:17:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"46047 Crona Lake, Suite 938, 91973-3901, Leschbury, Nebraska, United States",2,Single-Family,34000,"114.186.193.170",Fraud,0.7,
101613,2022-05-23 22:3:0,2022-05-23 22:14:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"7700 Nikko Trace, Suite 847, 59174, North Oral, Minnesota, United States",3,Single-Family,45000,"141.45.203.127",Fraud,0.7,
102016,2022-03-25 8:13:0,2022-03-25 8:16:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"3816 Marques Springs, Apt. 949, 92681, West Marcelinoburgh, South Carolina, United States",3,Single-Family,21000,"66.26.215.79",Fraud,0.7,
102419,2022-01-09 1:50:0,2022-01-09 2:3:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"94613 Jones Roads, Suite 314, 21084-4775, Schmittfurt, Oklahoma, United States",1,Multi-Family,40000,"227.138.39.222",Fraud,0.7,
102822,2022-02-27 10:55:0,2022-02-27 11:15:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"8151 Isac Inlet, Apt. 860, 07158-1336, Kaiatown, Alaska, United States",1,Multi-Family,48000,"254.210.87.122",Fraud,0.7,
103225,2022-01-17 5:18:0,2022-01-17 5:27:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"262 Terrence Drive, Apt. 584, 04196-5758, Richardfort, Kansas, United States",2,Multi-Family,26000,"124.253.102.41",Fraud,0.7,
103628,2022-03-03 15:18:0,2022-03-03 15:29:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"986 Lynch Ranch, Apt. 226, 34702-4074, Rosenbaumborough, Maryland, United States",2,Multi-Family,8000,"156.41.16.170",Fraud,0.7,
104031,2022-02-26 19:59:0,2022-02-26 20:7:0,"Adams, Anton",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"3008 Delpha Manors, Apt. 996, 05574-2719, North Lisamouth, Nebraska, United States",3,Multi-Family,51000,"130.127.110.245",Not_Fraud,0.7,
104434,2022-05-03 2:4:0,2022-05-03 2:24:0,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"03022 Waters Island, Suite 080, 42497-0873, Lake Roxanefort, Washington, United States",3,Multi-Family,8000,"63.143.65.44",,0.7,
104837,2022-03-17 11:36:0,2022-03-17 11:57:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"23362 Cleo Harbors, Apt. 116, 58482, Lockmanville, Tennessee, United States",1,Single-Family,8000,"149.184.246.197",,0.7,
105240,2022-06-13 1:51:0,2022-06-13 2:0:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"44975 Ferry Island, Apt. 807, 02428-9036, New Gerson, Missouri, United States",1,Single-Family,60000,"187.182.23.188",,0.7,
105643,2022-02-03 1:38:0,2022-02-03 1:53:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"093 Sporer Knoll, Apt. 604, 81361-2894, Port Karen, Pennsylvania, United States",2,Single-Family,43000,"193.14.172.30",,0.7,
106046,2022-06-11 16:2:0,2022-06-11 16:10:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"217 Streich Island, Apt. 807, 00683-8848, Lake Jillian, West Virginia, United States",2,Single-Family,2000,"188.172.93.210",,0.15,
106449,2022-04-06 5:53:0,2022-04-06 6:2:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"03199 Goodwin Walks, Suite 015, 99618, New Lew, Washington, United States",3,Single-Family,58000,"235.102.74.128",,0.15,
106852,2022-01-09 11:34:0,2022-01-09 11:46:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"506 Lillian Cliff, Apt. 420, 90464, Maiyafurt, Utah, United States",3,Single-Family,0,"216.31.232.181",,0.15,
107255,2022-02-21 17:8:0,2022-02-21 17:10:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"0109 Vivian Burgs, Suite 551, 07688-6652, East Othahaven, New Hampshire, United States",1,Multi-Family,22000,"213.218.186.166",,0.15,
107658,2022-04-01 4:39:0,2022-04-01 4:47:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"8010 Beverly Burgs, Suite 607, 68518, Connellytown, Kansas, United States",1,Multi-Family,60000,"156.17.162.242",,0.15,
108061,2022-02-22 11:7:0,2022-02-22 11:10:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"25713 Federico Mount, Apt. 337, 18306, Luettgenborough, Georgia, United States",2,Multi-Family,40000,"244.71.146.205",,0.15,
108464,2022-05-28 21:28:0,2022-05-28 21:35:0,"Adams, Charlie",c.adams@randatmail.com,(134)-646-0411,459-58-6593,"39164 Ryan Mills, Apt. 842, 31284-8545, New Asha, Michigan, United States",2,Multi-Family,5000,"254.87.250.234",,0.15,
